file,expected,rank,ms,top1,top5,top10,top20
img_001.jpg,"A Another Tag",1,4929,1,1,1,1
img_002.jpg,ABeeZee,2,3355,0,1,1,1
img_003.jpg,Abel,1,3410,1,1,1,1
img_004.jpg,Abramo,1,2958,1,1,1,1
img_005.jpg,"Abril Fatface",1,3569,1,1,1,1
img_006.jpg,Acme,1,4128,1,1,1,1
img_007.jpg,Acumin,1,4471,1,1,1,1
img_008.jpg,Adelia,1,4160,1,1,1,1
img_009.jpg,Advent,1,4302,1,1,1,1
img_010.jpg,Agatho,1,3493,1,1,1,1
img_011.jpg,Agora,1,3871,1,1,1,1
img_012.jpg,"Akira Expanded",2,3034,0,1,1,1
img_013.jpg,Akzidenz-Grotesk,1,3718,1,1,1,1
img_014.jpg,"Albertus Nova",1,3723,1,1,1,1
img_015.jpg,Albra,1,3792,1,1,1,1
img_016.jpg,Alegreya,1,3732,1,1,1,1
img_017.jpg,"Alegreya Sans",1,3093,1,1,1,1
img_018.jpg,"Alfa Slab",2,2269,0,1,1,1
img_019.jpg,Alice,1,3381,1,1,1,1
img_020.jpg,Almarai,1,3162,1,1,1,1
img_021.jpg,Amarillo,4,3135,0,1,1,1
img_022.jpg,Amasis,2,4131,0,1,1,1
img_023.jpg,"Amatic SC",1,4865,1,1,1,1
img_024.jpg,"American Captain",1,4641,1,1,1,1
img_025.jpg,Amiri,1,3030,1,1,1,1
img_026.jpg,"Amsterdam Signature",1,3547,1,1,1,1
img_027.jpg,Ananda,2,4203,0,1,1,1
img_028.jpg,Ancient,1,3335,1,1,1,1
img_029.jpg,Ano,1,3286,1,1,1,1
img_030.jpg,"Another Danger","not found",4292,0,0,0,0
img_031.jpg,Anton,1,3886,1,1,1,1
img_032.jpg,Archer,1,4443,1,1,1,1
img_033.jpg,"Architects Daughter",1,3400,1,1,1,1
img_034.jpg,Archivo,1,3281,1,1,1,1
img_035.jpg,"Archivo Black",1,3830,1,1,1,1
img_036.jpg,"Archivo Narrow",2,3537,0,1,1,1
img_037.jpg,Arimo,2,4927,0,1,1,1
img_038.jpg,Arsenal,2,3561,0,1,1,1
img_039.jpg,Arvo,2,4392,0,1,1,1
img_040.jpg,Asap,1,3061,1,1,1,1
img_041.jpg,"Asap Condensed",1,3322,1,1,1,1
img_042.jpg,Assistant,"not found",3606,0,0,0,0
img_043.jpg,Astralaga,1,3689,1,1,1,1
img_044.jpg,"Atomic Marker",1,6506,1,1,1,1
img_045.jpg,Aurora,1,4912,1,1,1,1
img_046.jpg,"Austral Slab",1,3817,1,1,1,1
img_047.jpg,Authenia,1,4307,1,1,1,1
img_048.jpg,Autography,1,4055,1,1,1,1
img_049.jpg,Avenir,1,3417,1,1,1,1
img_050.jpg,"Avenir Next",1,3383,1,1,1,1
img_051.jpg,Azonix,1,2517,1,1,1,1
img_052.jpg,"Baby Doll",1,3338,1,1,1,1
img_053.jpg,"Badaboom BB",1,4554,1,1,1,1
img_054.jpg,Bailenson,5,5380,0,1,1,1
img_055.jpg,Balerga,1,3505,1,1,1,1
img_056.jpg,"Bandito Script",1,3501,1,1,1,1
img_057.jpg,Barlington,1,3250,1,1,1,1
img_058.jpg,Barlow,1,3280,1,1,1,1
img_059.jpg,"Barlow Condensed",1,2858,1,1,1,1
img_060.jpg,"Barlow Semi Condensed",1,3110,1,1,1,1
img_061.jpg,"Batman Forever",1,4313,1,1,1,1
img_062.jpg,"Beautiful Barbies",1,5523,1,1,1,1
img_063.jpg,"Beautiful Christmas",1,3794,1,1,1,1
img_064.jpg,Bebas,1,4840,1,1,1,1
img_065.jpg,"Bebas Neue",1,4906,1,1,1,1
img_066.jpg,"Bembo MT",3,4162,0,1,1,1
img_067.jpg,"Berthold Corporate E",1,4690,1,1,1,1
img_068.jpg,"Better Time",1,3580,1,1,1,1
img_069.jpg,"Better Times",1,3182,1,1,1,1
img_070.jpg,"Be Vietnam",1,3339,1,1,1,1
img_071.jpg,Beyonders,1,4254,1,1,1,1
img_072.jpg,Biennale,1,4646,1,1,1,1
img_073.jpg,"Big Noodle Titling",1,4560,1,1,1,1
img_074.jpg,"Billion Dreams",1,3881,1,1,1,1
img_075.jpg,"Billy Ohio",1,4047,1,1,1,1
img_076.jpg,Biospace,1,3620,1,1,1,1
img_077.jpg,"Birds of Paradise",1,3682,1,1,1,1
img_078.jpg,"Biro Script Plus",1,4549,1,1,1,1
img_079.jpg,Bisney,1,3302,1,1,1,1
img_080.jpg,Bitter,1,3499,1,1,1,1
img_081.jpg,Blacker,1,3621,1,1,1,1
img_082.jpg,"Black Hulk",1,4391,1,1,1,1
img_083.jpg,"Black Ops",1,3002,1,1,1,1
img_084.jpg,"Blackout Sunrise",1,5779,1,1,1,1
img_085.jpg,Blacksword,1,4029,1,1,1,1
img_086.jpg,"Blastimo Sans","not found",3663,0,0,0,0
img_087.jpg,"BlincType Letterpress Fontpak","not found",2907,0,0,0,0
img_088.jpg,Blosta,1,4555,1,1,1,1
img_089.jpg,Bluesky,"not found",3387,0,0,0,0
img_090.jpg,Bodoni,1,3375,1,1,1,1
img_091.jpg,"Bodoni Egyptian",1,3328,1,1,1,1
img_092.jpg,"Bodoni Moda",1,3658,1,1,1,1
img_093.jpg,Bogart,1,4631,1,1,1,1
img_094.jpg,"Bon Vivant Family",1,3374,1,1,1,1
img_095.jpg,"Bookman Old Style",1,4591,1,1,1,1
img_096.jpg,Boton,1,3505,1,1,1,1
